"Index","GSPC.Adjusted","AAA","DGS1","GSPC.Adjusted.1"
"1989-08-03",344.73999,8.96,7.69,0.00116095098697677
"1989-08-04",343.920013,8.96,8.05,-0.00238137073136357
"1989-08-07",349.410004,8.96,8.16,0.0158369192430259
"1989-08-08",349.350006,8.96,8.08,-0.000171727057326265
"1989-08-09",346.940002,8.96,8.1,-0.00692244207526471
"1989-08-10",348.25,8.96,8.08,0.00376875256196652
"1989-08-11",344.73999,8.96,8.18,-0.0101301319410378
"1989-08-14",343.059998,8.96,8.33,-0.00488512756708204
"1989-08-15",344.709991,8.96,8.33,0.00479810457528984
"1989-08-16",345.660004,8.96,8.22,0.00275218681732703
"1989-08-17",344.450012,8.96,8.31,-0.00350666766706009
"1989-08-18",346.029999,8.96,8.29,0.00457649673408245
"1989-08-21",340.670013,8.96,8.35,-0.0156111686678564
"1989-08-22",341.190002,8.96,8.45,0.00152520778272169
"1989-08-23",344.700012,8.96,8.38,0.0102349956093999
"1989-08-24",351.519989,8.96,8.32,0.0195920690079285
"1989-08-25",350.519989,8.96,8.32,-0.00284884253792494
"1989-08-28",352.089996,8.96,8.36,0.0044690785688184
"1989-08-29",349.839996,8.96,8.37,-0.00641091770365509
"1989-08-30",350.649994,8.96,8.34,0.00231266220097393
"1989-08-31",351.450012,8.96,8.28,0.00227892989433265
"1989-09-01",353.730011,9.01,8.23,0.00646645358768261
"1989-09-05",352.559998,9.01,8.31,-0.00331312649291693
"1989-09-06",349.23999,9.01,8.29,-0.00946147855193669
"1989-09-07",348.350006,9.01,8.26,-0.00255159760881796
"1989-09-08",348.76001,9.01,8.2,0.00117629653244311
"1989-09-11",347.660004,9.01,8.1,-0.00315903303373855
"1989-09-12",348.700012,9.01,8.1,0.00298698589625257
"1989-09-13",345.459991,9.01,8.11,-0.00933515188222334
"1989-09-14",343.160004,9.01,8.03,-0.00668001385178307
"1989-09-15",345.059998,9.01,7.99,0.00552148679649012
"1989-09-18",346.730011,9.01,8.08,0.004828101656142
"1989-09-19",346.549988,9.01,8.07,-0.00051933707681151
"1989-09-20",346.470001,9.01,8.22,-0.000230836055596484
"1989-09-21",345.700012,9.01,8.26,-0.00222485604160205
"1989-09-22",347.049988,9.01,8.25,0.00389744556868532
"1989-09-25",344.230011,9.01,8.33,-0.0081587566450132
"1989-09-26",344.329987,9.01,8.34,0.00029039154465238
"1989-09-27",345.100006,9.01,8.36,0.00223378538214103
"1989-09-28",348.600006,9.01,8.41,0.0100909028074021
"1989-09-29",349.149994,9.01,8.48,0.00157646180982862
"1989-10-02",350.869995,8.92,8.49,0.00491415813370466
"1989-10-03",354.709991,8.92,8.41,0.0108847586071867
"1989-10-04",356.940002,8.92,8.41,0.00626717718270786
"1989-10-05",356.970001,8.92,8.36,8.40414054756877e-05
"1989-10-06",358.779999,8.92,8.06,0.00505763704719353
"1989-10-09",359.799988,8.92,8.06,0.00283890368084805
"1989-10-10",359.130005,8.92,8.04,-0.00186383431064652
"1989-10-11",356.98999,8.92,8.08,-0.00597671168307645
"1989-10-12",355.390015,8.92,7.99,-0.00449192194907866
"1989-10-13",333.649994,8.92,7.9,-0.0631232988550687
"1989-10-16",342.850006,8.92,7.85,0.0272005298640385
"1989-10-17",341.160004,8.92,7.82,-0.00494146405512463
"1989-10-18",341.76001,8.92,7.81,0.00175717841646161
"1989-10-19",347.130005,8.92,7.9,0.0155905983681066
"1989-10-20",347.160004,8.92,7.88,8.64163379272753e-05
"1989-10-23",344.829987,8.92,7.85,-0.00673427603263654
"1989-10-24",343.700012,8.92,7.76,-0.00328228549551479
"1989-10-25",342.5,8.92,7.77,-0.00349756106767707
"1989-10-26",337.929993,8.92,7.8,-0.0134329049736159
"1989-10-27",335.059998,8.92,7.88,-0.00852913843235825
"1989-10-30",335.070007,8.92,7.87,2.98718156956923e-05
"1989-10-31",340.359985,8.92,7.88,0.01566435079837
"1989-11-01",341.200012,8.89,7.86,0.00246501387714027
"1989-11-02",338.480011,8.89,7.81,-0.00800381187747323
"1989-11-03",337.619995,8.89,8.01,-0.00254405104634525
"1989-11-06",332.609985,8.89,8.05,-0.0149504005091865
"1989-11-07",334.809998,8.89,7.88,0.0065926134194747
"1989-11-08",338.149994,8.89,7.79,0.0099263655033619
"1989-11-09",336.570007,8.89,7.82,-0.00468339425431008
"1989-11-10",339.100006,8.89,7.83,0.00748889480245474
"1989-11-13",339.549988,8.89,7.8,0.00132610939341937
"1989-11-14",337.98999,8.89,7.7,-0.00460489655904883
"1989-11-15",340.540009,8.89,7.66,0.00751633976125188
"1989-11-16",340.579987,8.89,7.7,0.00011738900716729
"1989-11-17",341.609985,8.89,7.69,0.00301968315262258
"1989-11-20",339.350006,8.89,7.69,-0.00663765075027278
"1989-11-21",339.589996,8.89,7.69,0.000706954986561925
"1989-11-22",341.910004,8.89,7.6,0.00680856041754918
"1989-11-24",343.970001,8.89,7.59,0.00600689094061213
"1989-11-27",345.609985,8.89,7.74,0.00475648111959703
"1989-11-28",345.769989,8.89,7.76,0.000462854027809989
"1989-11-29",343.600006,8.89,7.77,-0.00629557475049225
"1989-11-30",345.98999,8.89,7.72,0.00693163643112094
"1989-12-01",350.630005,8.86,7.67,0.0133217066814977
"1989-12-04",351.410004,8.86,7.68,0.00222209364409665
"1989-12-05",349.579987,8.86,7.68,-0.00522124760952369
"1989-12-06",348.549988,8.86,7.76,-0.00295073921539668
"1989-12-07",347.589996,8.86,7.82,-0.00275804473411689
"1989-12-08",348.690002,8.86,7.73,0.00315966828953673
"1989-12-11",348.559998,8.86,7.74,-0.000372904988187095
"1989-12-12",351.730011,8.86,7.76,0.00905349101636244
"1989-12-13",352.75,8.86,7.77,0.0028957236452678
"1989-12-14",350.929993,8.86,7.71,-0.00517283730233231
"1989-12-15",350.140015,8.86,7.65,-0.00225363608579876
"1989-12-18",343.690002,8.86,7.62,-0.0185930232341898
"1989-12-19",342.459991,8.86,7.72,-0.00358525783021957
"1989-12-20",342.839996,8.86,7.63,0.00110901808304842
"1989-12-21",344.779999,8.86,7.64,0.00564267520300099
"1989-12-22",347.420013,8.86,7.7,0.00762793052602984
"1989-12-26",346.809998,8.86,7.83,-0.00175738630520783
"1989-12-27",348.809998,8.86,7.82,0.00575028182759141
"1989-12-28",350.670013,8.86,7.77,0.00531829174483267
"1989-12-29",353.399994,8.86,7.76,0.00775489554798803
"1990-01-02",359.690002,8.99,7.81,0.0176420120225691
"1990-01-03",358.76001,8.99,7.85,-0.00258888580664607
"1990-01-04",355.670013,8.99,7.82,-0.00865029791190164
"1990-01-05",352.200012,8.99,7.79,-0.00980414107803274
"1990-01-08",353.790009,8.99,7.81,0.00450431207515223
"1990-01-09",349.619995,8.99,7.78,-0.011856706127011
"1990-01-10",347.309998,8.99,7.77,-0.00662908895459413
"1990-01-11",348.529999,8.99,7.77,0.00350655971300817
"1990-01-12",339.929993,8.99,7.76,-0.0249846133721006
"1990-01-15",337,8.99,7.76,-0.00865676311574859
"1990-01-16",340.75,8.99,7.92,0.0110661402242807
"1990-01-17",337.399994,8.99,7.91,-0.00987991824782153
"1990-01-18",338.190002,8.99,8.05,0.00233872130956403
"1990-01-19",339.149994,8.99,8,0.00283459606241632
"1990-01-22",330.380005,8.99,7.98,-0.0261989474397186
"1990-01-23",331.609985,8.99,7.97,0.0037160121269304
"1990-01-24",330.26001,8.99,8,-0.00407928107399691
"1990-01-25",326.079987,8.99,8.03,-0.0127375431471739
"1990-01-26",325.799988,8.99,8.07,-0.000859050831310881
"1990-01-29",325.200012,8.99,8.08,-0.0018432447615071
"1990-01-30",322.980011,8.99,8.09,-0.00684997871526694
"1990-01-31",329.079987,8.99,8.08,0.0187104069378998
"1990-02-01",328.790009,9.22,8.09,-0.000881566329344885
"1990-02-02",330.920013,9.22,8.13,0.00645741713908876
"1990-02-05",331.850006,9.22,8.15,0.0028063840659911
"1990-02-06",329.660004,9.22,8.15,-0.00662124523546836
"1990-02-07",333.75,9.22,8.17,0.0123303772775358
"1990-02-08",332.959991,9.22,8.13,-0.00236987409940959
"1990-02-09",333.619995,9.22,8.03,0.0019802701237488
"1990-02-12",330.079987,9.22,8.06,-0.0106675958002489
"1990-02-13",331.019989,9.22,7.95,0.00284375334322373
"1990-02-14",332.01001,9.22,8.03,0.0029863557826042
"1990-02-15",334.890015,9.22,8.11,0.00863704542119859
"1990-02-16",332.720001,9.22,8.09,-0.00650086604539002
"1990-02-20",327.98999,9.22,8.24,-0.0143182088144176
"1990-02-21",327.670013,9.22,8.22,-0.000976045584414997
"1990-02-22",325.700012,9.22,8.17,-0.00603029491544493
"1990-02-23",324.149994,9.22,8.11,-0.00477039601485352
"1990-02-26",328.670013,9.22,8.1,0.013847894313221
"1990-02-27",330.26001,9.22,8.06,0.0048260058897398
"1990-02-28",331.890015,9.22,8.12,0.00492338059661002
"1990-03-01",332.73999,9.37,8.21,0.00255774026747524
"1990-03-02",335.540009,9.37,8.22,0.00837982698658823
"1990-03-05",333.73999,9.37,8.31,-0.00537898440937745
"1990-03-06",337.929993,9.37,8.31,0.0124765359733523
"1990-03-07",336.950012,9.37,8.29,-0.00290416572284613
"1990-03-08",340.269989,9.37,8.35,0.00980480077958923
